2023-05-16 21:05:01,591   |   INFO   |   Registering login manager...
2023-05-16 21:05:01,591   |   INFO   |   Registering routes...
2023-05-16 21:05:01,701   |   INFO   |   Updated formulas database info!
2023-05-16 21:05:06,532   |   INFO   |   Scanning directories...
2023-05-16 21:05:06,532   |   INFO   |   Scanned directories successfully!
2023-05-16 21:05:06,532   |   INFO   |   Registering login manager...
2023-05-16 21:05:06,532   |   INFO   |   Registering routes...
2023-05-16 21:05:06,647   |   INFO   |   Updated formulas database info!
2023-05-16 21:05:08,370   |   ERROR   |   
2023-05-16 21:05:08,960   |   INFO   |   Got user with id: 1!
2023-05-16 21:05:09,056   |   ERROR   |   
2023-05-16 21:05:10,691   |   INFO   |   Got user with id: 1!
2023-05-16 21:05:10,729   |   ERROR   |   
2023-05-16 21:05:47,880   |   INFO   |   Scanning directories...
2023-05-16 21:05:47,881   |   INFO   |   Scanned directories successfully!
2023-05-16 21:05:47,881   |   INFO   |   Registering login manager...
2023-05-16 21:05:47,881   |   INFO   |   Registering routes...
2023-05-16 21:05:48,121   |   INFO   |   Updated formulas database info!
2023-05-16 21:05:48,291   |   ERROR   |   
2023-05-16 21:05:50,550   |   INFO   |   Got user with id: 1!
2023-05-16 21:07:52,401   |   INFO   |   Scanning directories...
2023-05-16 21:07:52,401   |   INFO   |   Scanned directories successfully!
2023-05-16 21:07:52,402   |   INFO   |   Registering login manager...
2023-05-16 21:07:52,402   |   INFO   |   Registering routes...
2023-05-16 21:07:52,624   |   INFO   |   Updated formulas database info!
2023-05-16 21:08:40,087   |   INFO   |   Scanning directories...
2023-05-16 21:08:40,087   |   INFO   |   Scanned directories successfully!
2023-05-16 21:08:40,088   |   INFO   |   Registering login manager...
2023-05-16 21:08:40,088   |   INFO   |   Registering routes...
2023-05-16 21:08:40,205   |   INFO   |   Updated formulas database info!
2023-05-16 21:08:42,135   |   INFO   |   Got user with id: 1!
2023-05-16 21:08:42,246   |   ERROR   |   
2023-05-16 21:08:44,517   |   INFO   |   Got user with id: 1!
2023-05-16 21:10:08,482   |   INFO   |   Scanning directories...
2023-05-16 21:10:08,483   |   INFO   |   Scanned directories successfully!
2023-05-16 21:10:08,483   |   INFO   |   Registering login manager...
2023-05-16 21:10:08,483   |   INFO   |   Registering routes...
2023-05-16 21:10:08,610   |   INFO   |   Updated formulas database info!
2023-05-16 21:10:09,929   |   ERROR   |   
2023-05-16 21:10:11,581   |   INFO   |   Got user with id: 1!
2023-05-16 21:10:11,691   |   ERROR   |   
2023-05-16 21:10:16,682   |   INFO   |   Got user with id: 1!
2023-05-16 21:14:20,028   |   INFO   |   Scanning directories...
2023-05-16 21:14:20,028   |   INFO   |   Scanned directories successfully!
2023-05-16 21:14:20,028   |   INFO   |   Registering login manager...
